symbol,timestamp,tradingDay,open,high,low,close,volume
ESZ24,2023-09-27T07:14:00-05:00,2023-09-27,4510.0,4510.0,4510.0,4510.0,1
ESZ24,2023-10-25T08:34:00-05:00,2023-10-25,4430.0,4430.0,4430.0,4430.0,1
ESZ24,2023-10-25T12:38:00-05:00,2023-10-25,4390.0,4390.0,4390.0,4390.0,1
ESZ24,2023-11-02T09:13:00-05:00,2023-11-02,4475.0,4475.0,4475.0,4475.0,1
ESZ24,2023-11-02T09:14:00-05:00,2023-11-02,4479.0,4479.0,4479.0,4479.0,2
ESZ24,2023-11-02T12:55:00-05:00,2023-11-02,4513.75,4515.0,4513.75,4515.0,4
ESZ24,2023-11-03T08:56:00-05:00,2023-11-03,4559.0,4559.0,4559.0,4559.0,1
ESZ24,2023-11-03T11:02:00-05:00,2023-11-03,4560.0,4560.0,4560.0,4560.0,10
ESZ24,2023-11-08T08:49:00-06:00,2023-11-08,4590.0,4590.0,4590.0,4590.0,1
ESZ24,2023-11-08T10:47:00-06:00,2023-11-08,4577.5,4577.5,4577.5,4577.5,1
ESZ24,2023-11-10T08:59:00-06:00,2023-11-10,4564.0,4564.0,4564.0,4564.0,1
ESZ24,2023-11-14T08:32:00-06:00,2023-11-14,4675.0,4675.0,4675.0,4675.0,1
ESZ24,2023-11-20T09:05:00-06:00,2023-11-20,4730.0,4730.0,4730.0,4730.0,1
ESZ24,2023-11-20T14:00:00-06:00,2023-11-20,4756.0,4756.0,4756.0,4756.0,2
ESZ24,2023-11-20T14:01:00-06:00,2023-11-20,4756.0,4756.0,4756.0,4756.0,1
ESZ24,2023-11-28T20:16:00-06:00,2023-11-29,4748.75,4748.75,4748.5,4748.5,2
